structural_element,instance_count,category,recommended_exclude,reason
stairs railing,106,stairs_and_railings,yes,Permanent circulation/guarding element
stairs skirt,1,stairs_and_railings,yes,Permanent circulation/guarding element
stairs trim,3,stairs_and_railings,yes,Permanent circulation/guarding element
stairs wall,2,wall_surface,yes,Architectural wall or wall surface
stairwell,1,stairs_and_railings,yes,Permanent circulation/guarding element
step,77,stairs_and_railings,yes,Permanent circulation/guarding element
stone support structure,17,structural_support,yes,Load-bearing or structural support element
support beam,265,structural_support,yes,Load-bearing or structural support element
terrace,1,roof_exterior_structure,yes,Permanent exterior architectural/structural element
vent,251,building_service,yes,Integrated building service/infrastructure element
ventilation,338,building_service,yes,Integrated building service/infrastructure element
wall,25036,wall_surface,yes,Architectural wall or wall surface
wall /outside,14,wall_surface,yes,Architectural wall or wall surface
wall beam,4,structural_support,yes,Load-bearing or structural support element
wall board,75,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
wall cubby,4,built_in_recess,yes,Built-in wall recess or integrated shelving cavity
wall detail,5,wall_surface,yes,Architectural wall or wall surface
wall indent,6,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
wall outside,1,wall_surface,yes,Architectural wall or wall surface
wall panel,116,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
wall panel frame,1,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
wall post,3,structural_support,yes,Load-bearing or structural support element
wall top,10,wall_surface,yes,Architectural wall or wall surface
window,3189,window_opening,yes,Architectural window/opening or integrated window assembly
window /otherroom,3,window_opening,yes,Architectural window/opening or integrated window assembly
window /outside,11,window_opening,yes,Architectural window/opening or integrated window assembly
window frame,2180,window_opening,yes,Architectural window/opening or integrated window assembly
window frame /otherroom,1,window_opening,yes,Architectural window/opening or integrated window assembly
window glass,223,window_opening,yes,Architectural window/opening or integrated window assembly
window shutter,99,window_opening,yes,Architectural window/opening or integrated window assembly
window shutters,21,window_opening,yes,Architectural window/opening or integrated window assembly
window/door,4,door_opening,yes,Architectural door/opening or integrated door assembly
